player,rookie_season,minutes,usg_pct,pts_per_100,poss_est
Giannis Antetokounmpo,2014,1896.8083333333332,,83.48174532502226,628.88
Tim Hardaway Jr.,2014,1875.4783333333328,,104.26156493572223,790.32
Andre Roberson,2014,399.04333333333335,,82.05689277899343,91.4
Archie Goodwin,2014,532.88,,82.48299319727892,235.2
Nate Wolters,2014,1309.3583333333331,,85.87314662273475,485.6
Ryan Kelly,2014,1311.8666666666666,,98.86887306242146,477.4
Andrew Wiggins,2015,2968.7966666666666,,91.30766800084264,1519.04
Dante Exum,2015,1817.05,,71.70486060429135,548.0799999999999
Marcus Smart,2015,1808.2266666666667,,83.96480863087594,622.88
Elfrid Payton,2015,2488.6666666666665,,72.72474033984639,1005.16
Zach LaVine,2015,1901.7216666666664,,82.07790015613791,947.88
T.J. Warren,2015,614.13,,98.25152390118703,249.36
Adreian Payne,2015,739.6383333333333,,74.93667323388685,284.24
Jusuf Nurkić,2015,1103.2583333333334,,80.82264551870685,527.0799999999999
Tyler Ennis,2015,411.42333333333335,,63.994076581341226,189.08
Shabazz Napier,2015,1011.58,,78.22803021220477,333.64
Kyle Anderson,2015,358.08,,70.3689615823507,105.16
K.J. McDaniels,2015,1351.895,,81.50354799839336,597.52
Jerami Grant,2015,1376.5483333333334,,78.747700797057,521.9200000000001
Markel Brown,2015,781.4166666666666,,82.41758241758241,262.08000000000004
Jordan Clarkson,2015,1475.8233333333333,,92.31536926147704,761.52
Karl-Anthony Towns,2016,2626.485,,103.15717227179135,1457.0
D'Angelo Russell,2016,2259.08,,85.30268695370671,1235.6
Jahlil Okafor,2016,1590.565,,93.70329981017004,990.36
Kristaps Porziņģis,2016,2046.4616666666664,,92.39618910659716,1112.6
Mario Hezonja,2016,1412.8533333333332,,88.72225109510728,538.76
Willie Cauley-Stein,2016,1411.545,,105.22727272727273,440.0
Emmanuel Mudiay,2016,2067.8866666666668,,71.83103232396455,1213.96
Stanley Johnson,2016,1687.0716666666667,,78.14147164242041,758.88
Frank Kaminsky,2016,1707.5733333333333,,93.50120348083688,648.12
Justise Winslow,2016,2232.135,,82.50065737575598,608.48
Myles Turner,2016,1367.185,,95.19562007874016,650.24
Trey Lyles,2016,1382.3933333333334,,90.86169658151488,537.0799999999999
Devin Booker,2016,2107.665,,91.9588642027307,1139.6399999999999
Cameron Payne,2016,697.6133333333333,,85.09742602838585,332.56
