player,rookie_season,minutes,pts_per_100,poss_est,player_id,usg_pct
DeAndre' Bembry,2017,370.74,83.44348975545275,121.04,1627761,17.9
Timothé Luwawu-Cabarrot,2017,1189.91,91.166106695075,488.12,1627789,16.8
Skal Labissière,2017,611.6383333333333,100.50076505772708,287.56,1627746,20.4
Ivica Zubac,2017,608.515,98.0798452824976,289.56,1627826,17.2
Malcolm Brogdon,2017,1982.39,95.46450263865378,803.44,1627763,18.899999999999988
Patrick McCaw,2017,1073.995,94.8600645855759,297.28,1627775,12.5
Isaiah Whitehead,2017,1643.4716666666666,77.60246955925227,699.72,1627785,27.39999999999999
Paul Zipser,2017,843.38,86.14501076812634,278.6,1627835,15.6
Lonzo Ball,2018,1780.0566666666666,72.20611563918823,731.24,1628366,16.69999999999999
Jayson Tatum,2018,2442.911666666667,104.65685351805142,1062.52,1628369,21.8
Josh Jackson,2018,1959.2183333333328,84.27995602784902,1200.76,1628367,23.39999999999999
De'Aaron Fox,2018,2025.53,79.93938245879902,1055.8,1628368,23.799999999999997
Lauri Markkanen,2018,2020.02,101.46949039330478,1018.04,1628374,24.5
Frank Ntilikina,2018,1705.6483333333333,70.05386431035527,660.92,1628373,16.3
Dennis Smith Jr.,2018,2049.105,80.43471586897122,1302.92,1628372,24.2
Malik Monk,2018,853.505,85.7923051842191,490.72,1628370,23.599999999999998
Luke Kennard,2018,1462.7733333333333,98.33638798815733,567.44,1628379,17.9
Donovan Mitchell,2018,2638.11,94.63131265810924,1707.68,1628378,30.9
Bam Adebayo,2018,1368.185,98.39920785543362,484.76,1628389,15.7
Justin Jackson,2018,1506.2583333333334,95.40055597675008,474.84,1628382,14.099999999999998
T.J. Leaf,2018,459.2433333333333,101.93413486670153,153.04,1628388,15.8
John Collins,2018,1784.62,106.17074770441626,731.84,1628381,23.0
Jarrett Allen,2018,1441.115,107.96792230723952,543.6800000000001,1628386,15.8
OG Anunoby,2018,1481.4616666666666,104.71454528067324,418.28,1628384,14.799999999999999
Kyle Kuzma,2018,2400.905,97.75524981897176,1270.52,1628398,23.3
Josh Hart,2018,1460.5216666666668,107.04419889502762,463.36,1628404,13.0
Wes Iwundu,2018,1020.305,85.2315021587018,268.68,1628411,12.5
