season,position_group,shot_type,metric,value
2011,Guard,ft,attempts,263.0
2011,Guard,ft,makes,200.0
2011,Guard,ft,pct,0.7604562737642585
2011,Guard-Forward,3p,attempts,131.5
2011,Guard-Forward,3p,makes,50.0
2011,Guard-Forward,3p,pct,0.38022813688212925
2011,Guard-Forward,fg,attempts,565.5
2011,Guard-Forward,fg,makes,262.0
2011,Guard-Forward,fg,pct,0.46330680813439434
2011,Guard-Forward,ft,attempts,136.0
2011,Guard-Forward,ft,makes,107.0
2011,Guard-Forward,ft,pct,0.7867647058823529
2012,Center,3p,attempts,1.0
2012,Center,3p,makes,0.0
2012,Center,3p,pct,0.0
2012,Center,fg,attempts,257.0
2012,Center,fg,makes,123.0
2012,Center,fg,pct,0.4785992217898833
2012,Center,ft,attempts,124.0
2012,Center,ft,makes,69.5
2012,Center,ft,pct,0.5604838709677419
2012,Center-Forward,3p,attempts,2.0
2012,Center-Forward,3p,makes,0.0
2012,Center-Forward,3p,pct,0.0
2012,Center-Forward,fg,attempts,442.0
2012,Center-Forward,fg,makes,194.0
2012,Center-Forward,fg,pct,0.43891402714932126
2012,Center-Forward,ft,attempts,192.0
2012,Center-Forward,ft,makes,106.0
2012,Center-Forward,ft,pct,0.5520833333333334
2012,Forward,3p,attempts,96.0
2012,Forward,3p,makes,31.333333333333332
2012,Forward,3p,pct,0.3263888888888889
2012,Forward,fg,attempts,358.3333333333333
2012,Forward,fg,makes,160.66666666666666
2012,Forward,fg,pct,0.4483720930232558
2012,Forward,ft,attempts,86.83333333333333
2012,Forward,ft,makes,59.0
2012,Forward,ft,pct,0.6794625719769674
2012,Guard,3p,attempts,155.33333333333334
2012,Guard,3p,makes,54.75
2012,Guard,3p,pct,0.35246781115879827
2012,Guard,fg,attempts,518.25
2012,Guard,fg,makes,217.16666666666666
2012,Guard,fg,pct,0.41903843061585466
2012,Guard,ft,attempts,116.41666666666667
2012,Guard,ft,makes,93.41666666666667
2012,Guard,ft,pct,0.8024337866857552
2013,Center-Forward,3p,attempts,1.0
2013,Center-Forward,3p,makes,0.0
2013,Center-Forward,3p,pct,0.0
2013,Center-Forward,fg,attempts,197.0
2013,Center-Forward,fg,makes,101.0
2013,Center-Forward,fg,pct,0.5126903553299492
2013,Center-Forward,ft,attempts,45.0
