Rk,Player,PTS/100 Poss.,MP,USG%,TS%,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
84,Anthony Black,24.0,1891,22.2,.548,2025-26,22,ORL,63,40,0,2.6,108,114,0.3,2.3,.066,-1.2,0.6,-0.6,0.7,13.7,2.7,11.6,7.1,18.6,2.3,2.1,13.1,22.2,G,blackan01
85,Jalen Suggs,23.9,1536,22.9,.558,2025-26,24,ORL,56,55,0,2.7,108,111,0.3,2.4,.083,0.6,1.8,2.4,1.7,15.7,2.6,13.1,7.8,30.0,3.3,2.3,17.8,22.9,G,suggsja01
86,Andrew Wiggins,23.7,2037,19.7,.590,2025-26,30,MIA,67,67,0,4.6,117,115,2.3,2.3,.108,0.9,0.5,1.4,1.7,15.3,5.8,10.9,8.3,12.4,1.7,3.0,10.5,19.7,F-G,wiggian01
87,Brandin Podziemski,23.5,2312,20.0,.584,2025-26,22,GSW,81,42,0,5.1,117,116,2.8,2.3,.107,0.3,-0.1,0.2,1.3,15.0,3.4,16.9,10.0,19.2,1.8,0.6,11.9,20.0,G,podzibr01
88,Ace Bailey,23.4,1958,21.3,.538,2025-26,19,UTA,71,60,0,0.2,106,123,-0.2,0.4,.004,-1.7,-2.4,-4.2,-1.1,11.8,5.5,11.1,8.3,9.7,1.4,2.4,10.3,21.3,G-F,baileac01
89,Jaylon Tyson,23.4,1752,19.1,.611,2025-26,23,CLE,65,41,0,4.0,119,117,2.4,1.7,.110,0.7,-0.5,0.2,1.0,14.9,7.4,13.4,10.4,11.5,1.5,1.5,12.0,19.1,G,tysonja01
90,Kel'el Ware,23.1,1675,18.1,.613,2025-26,21,MIA,76,33,0,6.1,125,109,3.1,3.0,.174,2.0,0.1,2.1,1.8,20.1,13.3,29.4,21.3,4.7,1.6,4.5,8.2,18.1,C,wareke01
91,Onyeka Okongwu,23.1,2297,19.5,.592,2025-26,25,ATL,74,63,0,6.0,117,112,2.6,3.4,.126,-0.1,0.9,0.8,1.6,15.9,6.5,20.3,13.3,13.9,1.7,3.1,11.8,19.5,C-F,okongon01
92,Kyle Filipowski,22.9,1801,20.0,.586,2025-26,22,UTA,77,41,0,3.1,115,119,1.8,1.3,.082,-0.6,-0.5,-1.1,0.4,16.1,8.5,25.0,16.6,15.7,1.9,2.1,14.3,20.0,F-C,filipky01
93,Moses Moody,22.9,1540,18.3,.600,2025-26,23,GSW,60,49,0,3.1,118,117,1.7,1.4,.096,0.2,-0.3,-0.1,0.7,13.5,3.6,11.0,7.3,9.2,1.8,2.0,8.6,18.3,G,moodymo01
94,Tobias Harris,22.8,1724,18.8,.568,2025-26,33,DET,62,62,0,5.0,120,111,2.4,2.7,.140,0.4,0.8,1.1,1.4,14.6,3.6,17.0,10.4,12.5,1.5,1.5,8.1,18.8,F,harrito02
95,Maxime Raynaud,22.6,1927,18.2,.614,2025-26,22,SAC,73,55,0,3.4,120,121,2.5,0.9,.086,-1.0,-1.6,-2.6,-0.3,15.9,7.9,24.4,15.9,7.6,0.9,1.8,11.0,18.2,F,raynama01
96,Jock Landale,22.6,1506,18.3,.595,2025-26,30,ATLMEM,68,27,0,3.9,124,118,2.8,1.1,.123,0.9,-1.0,-0.1,0.7,16.6,13.0,15.0,13.9,11.1,1.1,2.2,9.0,18.3,C,landajo01
97,Jaylen Wells,22.5,1821,19.3,.559,2025-26,22,MEM,69,69,0,1.6,111,121,0.9,0.7,.043,-1.8,-1.4,-3.1,-0.5,11.5,3.6,9.6,6.6,8.8,1.6,0.5,8.7,19.3,F,wellsja01
98,Noah Clowney,22.5,1780,20.4,.554,2025-26,21,BRK,66,60,0,1.1,106,119,-0.1,1.2,.030,-2.2,-1.1,-3.4,-0.6,11.2,3.2,15.2,8.9,9.5,1.4,2.3,12.3,20.4,F,clownno01
99,Will Riley,22.5,1598,20.3,.553,2025-26,19,WAS,73,17,0,0.6,109,125,0.5,0.0,.017,-1.7,-2.5,-4.3,-0.9,12.4,3.7,10.3,7.0,12.7,1.6,0.5,11.8,20.3,F,rileywi01
100,Jabari Smith Jr.,22.5,2705,18.2,.570,2025-26,22,HOU,77,77,0,6.6,120,114,3.4,3.2,.117,-0.5,-0.2,-0.7,0.9,13.5,4.5,17.0,10.9,7.3,1.0,2.4,9.0,18.2,F-C,smithja05
101,Jaden McDaniels,22.4,2316,18.5,.611,2025-26,25,MIN,73,73,0,5.3,117,114,2.5,2.8,.109,-0.9,0.6,-0.3,1.0,14.0,3.7,10.9,7.4,12.2,1.7,2.7,12.9,18.5,F,mcdanja02
102,Derik Queen,22.2,1982,21.5,.549,2025-26,21,NOP,80,47,0,2.7,108,115,0.4,2.2,.064,-1.5,0.7,-0.8,0.6,15.8,7.0,23.1,15.0,21.2,2.0,3.5,18.2,21.5,F-C,queende01
103,VJ Edgecombe,22.2,2592,20.1,.542,2025-26,20,PHI,74,74,0,4.3,113,117,1.9,2.4,.080,-0.4,-0.1,-0.5,1.0,13.9,5.0,12.6,8.8,17.1,2.0,1.4,11.0,20.1,G-F,edgecvj01
104,Deandre Ayton,22.1,1933,16.5,.675,2025-26,27,LAL,71,71,0,6.0,129,115,3.9,2.1,.148,-0.1,-0.9,-1.0,0.5,18.0,11.4,22.5,17.2,4.5,1.0,3.2,11.4,16.5,C,aytonde01
105,Cam Spencer,22.1,1714,17.2,.649,2025-26,25,MEM,72,20,0,5.3,133,122,4.7,0.6,.150,3.0,-0.9,2.2,1.8,17.2,2.5,9.2,5.8,33.0,1.4,0.6,13.1,17.2,G,spencca01
106,Collin Gillespie,21.9,2282,18.7,.575,2025-26,26,PHO,80,58,0,6.1,121,115,3.6,2.5,.129,1.9,0.5,2.4,2.5,15.3,4.2,12.0,8.0,23.5,2.1,0.7,12.4,18.7,G,gilleco01
107,Quentin Grimes,21.9,2178,18.9,.583,2025-26,25,PHI,74,19,0,3.4,114,118,1.8,1.6,.075,-1.0,-0.7,-1.7,0.2,12.8,2.3,11.4,6.8,15.5,1.4,1.2,13.4,18.9,G-F,grimequ01
108,Devin Vassell,21.8,2011,17.9,.572,2025-26,25,SAS,66,64,0,4.8,118,113,2.2,2.6,.115,0.1,0.4,0.5,1.3,12.9,2.0,11.9,7.1,11.1,1.3,1.1,6.7,17.9,G-F,vassede01
