Rk,Player,PTS/100 Poss.,MP/G,G,USG%,TS%,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
79,Jeremiah Wilkinson,32.6,27.3,32,28.8,.527,2024-25,California,32,14,2.3,111,116,1.9,0.4,.104,3.3,-0.4,2.9,17.0,2.0,6.4,4.0,12.3,1.7,0.5,10.0,28.8,G,FR,jeremiah-wilkinson-1
80,Chris Fouch,32.6,21.3,30,26.4,.569,2009-10,Drexel,30,0,2.9,117,102,2.1,0.8,.180,,,,21.9,2.0,8.3,5.1,14.7,2.0,0.6,9.1,26.4,G,FR,chris-fouch-1
81,Javon McCrea,32.6,21.6,34,27.5,.612,2010-11,Buffalo,34,0,4.4,115,89,2.5,1.8,.238,6.2,3.3,9.5,32.8,17.2,18.6,17.9,19.1,3.5,8.5,17.9,27.5,F,FR,javon-mccrea-1
82,Marcquise Reed,32.6,27.8,35,29.6,.570,2014-15,Robert Morris,35,28,3.4,106,102,2.1,1.3,.139,1.8,0.7,2.5,22.1,2.4,7.9,5.3,18.6,4.1,0.1,16.2,29.6,G,FR,marcquise-reed-1
83,Nate Ament,32.6,29.2,20,28.7,.540,2025-26,Tennessee,20,20,2.7,116,100,1.4,1.3,.184,3.8,3.2,7.0,19.9,6.4,17.3,12.1,15.7,2.5,1.5,14.2,28.7,F,FR,nate-ament-1
84,Alessandro Lever,32.5,21.3,34,29.2,.551,2017-18,Grand Canyon,34,27,3.1,107,94,1.4,1.7,.170,0.8,0.8,1.6,19.0,6.2,16.0,11.1,12.8,0.9,2.0,13.6,29.2,F,FR,alessandro-lever-1
85,Josh Harris,32.5,22.5,30,26.0,.593,2024-25,North Florida,30,30,2.7,122,113,2.2,0.5,.159,1.4,-3.4,-2.0,25.2,13.8,19.8,16.7,5.2,1.7,2.0,8.4,26.0,F,FR,josh-harris-1
86,Derrick Williams,32.5,28.2,31,26.6,.620,2009-10,Arizona,31,30,4.3,119,102,3.2,1.1,.195,,,,25.8,9.7,19.7,14.9,6.3,1.3,2.4,13.3,26.6,F,FR,derrick-williams-2
87,Darrion Trammell,32.5,35.8,23,30.6,.548,2020-21,Seattle,23,18,3.9,109,98,2.5,1.4,.188,3.3,1.0,4.3,23.8,1.8,10.7,6.0,32.4,3.1,0.8,15.5,30.6,G,FR,darrion-trammell-1
88,Gavin Sykes,32.4,32.0,21,25.4,.590,2025-26,Long Beach State,21,19,2.5,124,115,1.9,0.5,.147,5.1,-2.5,2.6,19.6,1.9,10.2,5.9,10.9,0.5,0.8,5.0,25.4,G,FR,gavin-sykes-1
89,Jeremiah Fears,32.4,30.2,34,31.5,.562,2024-25,Oklahoma,34,31,3.4,108,107,2.1,1.2,.132,4.2,1.7,5.9,20.7,3.1,13.0,8.3,28.6,3.1,0.5,18.3,31.5,G,FR,jeremiah-fears-1
